category,brand,model,image_count,status,brand_id,matched_slug,note
2w,Ducati India,Multistrada V2,3,scraped_exact,ducati-india,multistrada-v2,
2w,Ducati India,Multistrada V4,4,scraped_exact,ducati-india,multistrada-v4,
2w,Ducati India,Panigale V2,2,scraped_exact,ducati-india,panigale-v2,
2w,Ducati India,Panigale V4,3,scraped_exact,ducati-india,panigale-v4,
2w,Ducati India,Scrambler Icon,4,scraped_exact,ducati-india,scrambler-icon,
2w,Ducati India,Scrambler Nightshift,1,scraped_exact,ducati-india,scrambler-nightshift,
2w,Ducati India,Streetfighter V2,2,scraped_exact,ducati-india,streetfighter-v2,
2w,Ducati India,Streetfighter V4,1,scraped_exact,ducati-india,streetfighter-v4,
2w,Ducati India,XDiavel V4,2,scraped_exact,ducati-india,xdiavel-v4,
2w,Evolet,Derby,2,scraped_exact,evolet,derby,
2w,Evolet,Pony,1,scraped_exact,evolet,pony,
2w,Ferrato,Disruptor,3,scraped_exact,ferrato,disruptor,
2w,Gemopai,Astrid Lite,5,scraped_exact,gemopai,astrid-lite,
2w,Gemopai,Ryder,5,scraped_exact,gemopai,ryder,
2w,Gemopai,Ryder SuperMax,6,scraped_exact,gemopai,ryder-supermax,
2w,Harley-Davidson India,Breakout,5,scraped_exact,harley-davidson-india,breakout,
2w,Harley-Davidson India,Fat Boy,4,scraped_exact,harley-davidson-india,fat-boy,
2w,Harley-Davidson India,Heritage Classic,5,scraped_exact,harley-davidson-india,heritage-classic,
2w,Harley-Davidson India,Nightster,3,scraped_exact,harley-davidson-india,nightster,
2w,Harley-Davidson India,Nightster Special,4,scraped_exact,harley-davidson-india,nightster-special,
2w,Harley-Davidson India,Pan America 1250 Special,4,scraped_exact,harley-davidson-india,pan-america-1250-special,
2w,Harley-Davidson India,Road Glide,7,scraped_exact,harley-davidson-india,road-glide,
2w,Harley-Davidson India,Sportster S,4,scraped_exact,harley-davidson-india,sportster-s,
2w,Harley-Davidson India,Street Glide,7,scraped_exact,harley-davidson-india,street-glide,
2w,Harley-Davidson India,X440,6,scraped_exact,harley-davidson-india,x440,
2w,Hero Electric,Atria LX,2,scraped_exact,hero-electric,atria,
2w,Hero Electric,NYX HX,2,scraped_exact,hero-electric,nyx-hx,
2w,Hero Electric,Optima CX,4,scraped_exact,hero-electric,optima-cx,
2w,Hero Electric,Photon HX,5,scraped_exact,hero-electric,photon,
2w,Hero MotoCorp,Destini 125,5,scraped_exact,hero-motocorp,destini-125,
2w,Hero MotoCorp,Destini Prime,4,scraped_exact,hero-motocorp,destini-prime,
2w,Hero MotoCorp,Glamour,4,scraped_exact,hero-motocorp,glamour,
2w,Hero MotoCorp,Glamour X 125,5,scraped_exact,hero-motocorp,glamour-x-125,
2w,Hero MotoCorp,Glamour Xtec,4,scraped_exact,hero-motocorp,glamour-xtec,
2w,Hero MotoCorp,HF Deluxe,11,scraped_exact,hero-motocorp,hf-deluxe,
2w,Hero MotoCorp,Karizma XMR,4,scraped_exact,hero-motocorp,karizma-xmr,
2w,Hero MotoCorp,Mavrick 440,5,scraped_exact,hero-motocorp,mavrick-440,
2w,Hero MotoCorp,Passion Plus,3,scraped_exact,hero-motocorp,passion-plus,
2w,Hero MotoCorp,Pleasure Plus,7,scraped_exact,hero-motocorp,pleasure-plus,
2w,Hero MotoCorp,Pleasure Plus Xtec,4,scraped_exact,hero-motocorp,pleasure-plus-xtec,
2w,Hero MotoCorp,Splendor Plus,8,scraped_exact,hero-motocorp,splendor-plus,
2w,Hero MotoCorp,Splendor Plus Xtec,7,scraped_exact,hero-motocorp,splendor-plus-xtec,
2w,Hero MotoCorp,Super Splendor Xtec,4,scraped_exact,hero-motocorp,super-splendor-xtec,
2w,Hero MotoCorp,Xoom 110,6,scraped_exact,hero-motocorp,xoom-110,
2w,Hero MotoCorp,Xoom 125,4,scraped_exact,hero-motocorp,xoom-125,
2w,Hero MotoCorp,Xoom 160,4,scraped_exact,hero-motocorp,xoom-160,
2w,Hero MotoCorp,XPulse 200 4V,8,scraped_exact,hero-motocorp,xpulse-200-4v,
2w,Hero MotoCorp,XPulse 210,4,scraped_exact,hero-motocorp,xpulse-210,
2w,Hero MotoCorp,Xtreme 125R,11,scraped_exact,hero-motocorp,xtreme-125r,
2w,Hero MotoCorp,Xtreme 160R,2,scraped_exact,hero-motocorp,xtreme-160r,
2w,Hero MotoCorp,Xtreme 160R 4V,5,scraped_exact,hero-motocorp,xtreme-160r-4v,
2w,Hero MotoCorp,Xtreme 250R,3,scraped_exact,hero-motocorp,xtreme-250r,
2w,Honda Motorcycle & Scooter India,Activa,10,scraped_exact,honda-hmsi,activa,
2w,Honda Motorcycle & Scooter India,Activa 125,8,scraped_exact,honda-hmsi,activa-125,
2w,Honda Motorcycle & Scooter India,Activa e,5,scraped_exact,honda-hmsi,activa-e,
2w,Honda Motorcycle & Scooter India,CB1000 Hornet,1,scraped_exact,honda-hmsi,cb1000-hornet,
2w,Honda Motorcycle & Scooter India,CB125 Hornet,4,scraped_exact,honda-hmsi,cb-125-hornet,
2w,Honda Motorcycle & Scooter India,CB300F,3,scraped_exact,honda-hmsi,cb300f,
2w,Honda Motorcycle & Scooter India,CB350RS,6,scraped_exact,honda-hmsi,cb350rs,
2w,Honda Motorcycle & Scooter India,CB650R,2,scraped_exact,honda-hmsi,cb650r,
2w,Honda Motorcycle & Scooter India,CB750 Hornet,2,scraped_exact,honda-hmsi,cb750-hornet,
2w,Honda Motorcycle & Scooter India,CBR1000RR-R Fireblade,1,scraped_exact,honda-hmsi,cbr1000rr-r-fireblade,
2w,Honda Motorcycle & Scooter India,CBR650R,2,scraped_exact,honda-hmsi,cbr650r,
2w,Honda Motorcycle & Scooter India,Dio,5,scraped_exact,honda-hmsi,dio,
2w,Honda Motorcycle & Scooter India,Dio 125,7,scraped_exact,honda-hmsi,dio-125,
2w,Honda Motorcycle & Scooter India,Goldwing Tour,1,scraped_exact,honda-hmsi,goldwing-tour,
2w,Honda Motorcycle & Scooter India,Hness CB350,8,scraped_exact,honda-hmsi,hness-cb350,
2w,Honda Motorcycle & Scooter India,Hornet 2.0,4,scraped_exact,honda-hmsi,hornet,
2w,Honda Motorcycle & Scooter India,Livo,3,scraped_exact,honda-hmsi,livo,
2w,Honda Motorcycle & Scooter India,NX200,3,scraped_exact,honda-hmsi,nx200,
2w,Honda Motorcycle & Scooter India,NX500,3,scraped_exact,honda-hmsi,nx500,
2w,Honda Motorcycle & Scooter India,QC1,5,scraped_exact,honda-hmsi,qc1,
2w,Honda Motorcycle & Scooter India,Shine,7,scraped_exact,honda-hmsi,shine,
2w,Honda Motorcycle & Scooter India,Shine 100,9,scraped_exact,honda-hmsi,shine-100,
2w,Honda Motorcycle & Scooter India,SP 125,7,scraped_exact,honda-hmsi,sp-125,
2w,Honda Motorcycle & Scooter India,SP160,4,scraped_exact,honda-hmsi,sp160,
2w,Honda Motorcycle & Scooter India,Transalp XL750,2,scraped_exact,honda-hmsi,transalp-xl750,
2w,Honda Motorcycle & Scooter India,Unicorn,3,scraped_exact,honda-hmsi,unicorn,
2w,Honda Motorcycle & Scooter India,X-ADV 750,2,scraped_exact,honda-hmsi,x-adv,
2w,Hop Electric,Leo,5,scraped_exact,hop-electric,leo,
2w,Hop Electric,OXO,5,scraped_exact,hop-electric,oxo,
2w,Husqvarna India,Svartpilen 401,1,scraped_exact,husqvarna-india,svartpilen-401,
2w,Husqvarna India,Vitpilen 250,1,scraped_exact,husqvarna-india,vitpilen-250,
2w,Indian Motorcycle,101 Scout,2,scraped_exact,indian-motorcycle,101-scout,
2w,Indian Motorcycle,Scout Bobber,1,scraped_exact,indian-motorcycle,scout-bobber,
2w,Indian Motorcycle,Scout Classic,1,scraped_exact,indian-motorcycle,scout-classic,
2w,Indian Motorcycle,Sport Scout,1,scraped_exact,indian-motorcycle,sport-scout,
2w,Indian Motorcycle,Super Scout,2,scraped_exact,indian-motorcycle,super-scout,
2w,iVOOMi,Jeet X,4,scraped_exact,ivoomi,jeet-x,
2w,iVOOMi,S1,3,scraped_exact,ivoomi,s1,
2w,Jawa Motorcycles,Jawa 350,8,scraped_exact,jawa-motorcycles,350,
2w,Jawa Motorcycles,Jawa 42,14,scraped_exact,jawa-motorcycles,42,
2w,Jawa Motorcycles,Jawa 42 Bobber,5,scraped_exact,jawa-motorcycles,42-bobber,
2w,Jawa Motorcycles,Jawa 42 FJ,5,scraped_exact,jawa-motorcycles,42-fj,
2w,Joy e-bike,Gen Nxt,4,scraped_exact,joy-e-bike,gen-nxt,
2w,Joy e-bike,Glob,1,scraped_exact,joy-e-bike,glob,
2w,Joy e-bike,Mihos,3,scraped_exact,joy-e-bike,mihos,
2w,Joy e-bike,Wolf,7,scraped_exact,joy-e-bike,wolf,
2w,Kabira Mobility,Intercity FS,0,unavailable_on_source,kabira-mobility,,no confirmed BikeWale colour page
2w,Kabira Mobility,Intercity Neo,0,unavailable_on_source,kabira-mobility,,no confirmed BikeWale colour page
2w,Kabira Mobility,KM3000,0,unavailable_on_source,kabira-mobility,,no confirmed BikeWale colour page
2w,Kabira Mobility,KM4000,0,unavailable_on_source,kabira-mobility,,no confirmed BikeWale colour page
2w,Kabira Mobility,KM5000,0,unavailable_on_source,kabira-mobility,,no confirmed BikeWale colour page
2w,Kawasaki India,Eliminator,1,scraped_exact,kawasaki-india,eliminator,
2w,Kawasaki India,Ninja 1100SX,1,scraped_exact,kawasaki-india,ninja-1100sx,
2w,Kawasaki India,Ninja 300,2,scraped_exact,kawasaki-india,ninja-300,
2w,Kawasaki India,Ninja 500,1,scraped_exact,kawasaki-india,ninja-500,
2w,Kawasaki India,Ninja 650,1,scraped_exact,kawasaki-india,ninja-650,
2w,Kawasaki India,Ninja H2 SX SE,1,scraped_exact,kawasaki-india,ninja-h2-sx-se,
2w,Kawasaki India,Ninja ZX-10R,2,scraped_exact,kawasaki-india,ninja-zx-10r,
2w,Kawasaki India,Versys 650,1,scraped_exact,kawasaki-india,versys-650,
2w,Kawasaki India,Vulcan S,1,scraped_exact,kawasaki-india,vulcan-s,
2w,Kawasaki India,W175,6,scraped_exact,kawasaki-india,w175,
2w,Kawasaki India,Z H2,1,scraped_exact,kawasaki-india,z-h2,
2w,Kawasaki India,Z650,1,scraped_exact,kawasaki-india,z650,
2w,Kawasaki India,Z650RS,1,scraped_exact,kawasaki-india,z650rs,
2w,Kawasaki India,Z900,2,scraped_exact,kawasaki-india,z900,
2w,Keeway India,K-Light 250V,3,scraped_exact,keeway-india,k-light-250v,
