"Brand","Model"
"Audi","A6"
"BMW","M4"
"BMW","M8"
"BMW","6 Series GT"
"BMW","8 Series Gran Coupe"
"BMW","M8 Coupe Competition"
"BMW","X5 M Competition"
"Hyundai","Creta EV"
"Toyota","Fortuner"
"Toyota","Rumion"
"Volkswagen","Tayron R-Line"
